,question,modified_relation
3051,Which object in this image belongs to the category Winter sports?,Category
1170,What is covered in snow in this image?,HasProperty
1179,Which European cuisine is shown in this image?,Category
1178,What is the object in the middle used for?,UsedFor
4005,Which object in this image is used for eating?,UsedFor
4133,Which object in this image is used for eating?,UsedFor
876,What stringed instrument is seen here?,IsA
370,What stringed instrument is seen here?,IsA
654,What is the name of the stringed instrument,IsA
5135,Which object in this image is a stringed instrument?,IsA
877,Which vehicle in the image has windows?,HasA
3432,Which object in this image is able to stock food?,CapableOf
5526,Which object in this image can be used to stock food?,CapableOf
776,Which stuff in the image is used for stock food?,CapableOf
623,Which object in this image can be used to connect to internet?,RelatedTo
875,Which is cooler? Them machine in the image or car?,Comparative
1594,What object shown here is cooler than a car?,Comparative
622,What is the object in this image used for?,UsedFor
789,Which object in this image is dedicated for listening to music,UsedFor
446,These thing as sued for what?,UsedFor
872,What are they doing with the bicycle?,UsedFor
1225,What objects in this image are capable of dressing themselves?,CapableOf
4786,which object in this image can dress themselves?,CapableOf
3435,Which object in this image has a wet nose?,HasA
620,Which vehicle has two wheels in this image,HasA
5561,Which object in this image has two wheels?,HasA
870,What thing in the image can be used to record a scene?,CapableOf
627,Which thing in the image can run?,CapableOf
626,What is the stick style instrument in the image?,RelatedTo
4592,What is the place in this image used for?,UsedFor
2754,What activity is facilitated by the place?,UsedFor
1605,What is the place in this image used for?,UsedFor
4115,What is the place in this image used for?,UsedFor
4593,Which object in this image can travel very fast?,CapableOf
2322,Which object in this image is travelling very fast?,CapableOf
624,Which vehicle is more important?,Comparative
4590,Which object in this image could be used for sitting on?,RelatedTo
5146,What object in this image is for sitting on?,RelatedTo
4591,Which object might be found in a pitcher's hand?,AtLocation
2745,Which object in this image is capable of eat fish?,CapableOf
2747,Which object in this image is capable of eat fish?,CapableOf
2749,Which object in this image is capable of eat fish?,CapableOf
2748,Which object in this image is capable of eat fish?,CapableOf
4032,Which object in this image likes eating fish?,CapableOf
2746,Which object in this image is capable of eat fish?,CapableOf
2750,Which object in this image is capable of eat fish?,CapableOf
2744,Which object in this image is related to liquor?,RelatedTo
4595,Which object in this image is an item of Kitchenware?,Category
4845,What popular pet is in this image?,IsA
2060,Which object in this image is a popular pet?,IsA
3253,Which object in this image is a popular pet?,IsA
4598,What object is used to guarantee road safety?,Category
4599,Which sweet food is healthier than chocolate?,Category
5421,Which object in this image belongs to the category Foods?,Category
5422,what's shown in the image?,Category
3554,Which sort of food is in this image?,Category
4497,Which object in this image belongs to the category Foods?,Category
4734,What is one thing in this image that can drink a glass of milk?,CapableOf
4735,Which object in this image is related to flatbread?,Category
2039,which fruit in this image has less natural sugar than sweet potato?,Comparative
4843,Which object in this image can be found in lake river and ocean?,AtLocation
455,Where can people find fish,AtLocation
4738,What fast food item is in this image?,Category
2047,What fast food can be found in this image?,Category
3841,Which object in this image belongs to Fast food,Category
4739,Which object in this image is used for self expression?,UsedFor
393,Do you need small balls or big balls for this game?,ReceivesAction
392,Why do they have a cake?,RelatedTo
391,Whether this animal lives in the wild or in the room?,AtLocation
390,Which object in this image can catch a fly?,CapableOf
397,what object in this image is related to plumbing?,RelatedTo
396,what object in this image is a kind of seat?,RelatedTo
395,What kind of vitamin does this breakfast contain?,HasProperty
230,Which food in this image is full of vitamin C,HasProperty
511,Which thing in the image are full of vitamin C?,HasProperty
1852,What shown here is full of vitamin C?,HasProperty
568,What kind of vitamin does the fruit in the image contain?,HasProperty
4369,What is the object in the hand of the person rich of ?,HasProperty
394,What are they making?,RelatedTo
399,What animal is playful and friendly,HasProperty
3436,What shown in this image is generally very playful and friendly?,HasProperty
398,Which animal in this image can be a friend to humans?,CapableOf
2309,Which object in this image can sometimes be found in the Amazon river?,AtLocation
2308,Which object in this image is related to lignify?,RelatedTo
4729,Which object in this image can sometimes be found in a horserace?,AtLocation
4728,Which object in this image is filled with pressurised air?,HasProperty
2857,Which object in this image is filedl with pressurised air?,HasProperty
2301,Which object in this image can be found in traffic scenes?,AtLocation
2300,Which object in this image is related to four wheels?,RelatedTo
2303,Which action is longer than the action shown in this image?,Comparative
2302,Which object in this image can travel on road?,CapableOf
2305,Which object in this image can be used to heat food?,CapableOf
218,Tell me what thing is the object in the middle capable of ,CapableOf
3053,which object in this image can be used to heat food?,CapableOf
2304,What is the place in this image used for?,UsedFor
2720,What is the place in this image used for?,UsedFor
5674,What is the place in this image used for?,UsedFor
5676,What is the place in this image used for?,UsedFor
5068,What do you do in a kitchenette?,UsedFor
4723,which object in this image comes from the fruit category,IsA
52,What is the fruit in the image?,IsA
4722,which object in this image is taller than shrub?,Comparative
5847,Which object in this image used to open things?,RelatedTo
5846,Which kind of sport in this image comes from North America?,IsA
5845,What sport in the image belongs to team sports?,Category
5844,What object in this image is related to mitts?,RelatedTo
5843,What objects in this image are used to protect heads?,UsedFor
1215,Which object in this image is used for protecting the head?,UsedFor
5842,What object in this image is a type of protective garment?,IsA
3288,What object in this image is a type of protective garment?,IsA
5841,What object in this image is used to hit a baseball?,UsedFor
1130,Which object in this image is used for hitting baseballs?,UsedFor
4674,￼Which object in this image is used for hitting baseballs?,UsedFor
28,What object in this image can hit a baseball?,UsedFor
1607,Which object in this image is used for hit baseball?,UsedFor
2875,What is used to hit a baseball?,UsedFor
853,What is the object in the men's hand could be used for?,UsedFor
5840,What ball game is in this image?,Category
5849,Which object in this image is related to whey?,RelatedTo
5848,What kind of bottle opener can be seen here?,IsA
3748,Which object in this image is rich in potassium?,HasProperty
1356,Which object in this image has the property of rich in potassium?,HasProperty
4403,Which object in this image is rich in potassium?,HasProperty
3749,Which object in this image is related to plantains?,RelatedTo
3746,Which object in this image is related to knot?,RelatedTo
2218,Which object in this image is related to knot?,RelatedTo
1943,Which piece of clothes in this image has a knot?,RelatedTo
3747,What is the place in this image used for?,UsedFor
3744,Which animal in this image belongs to the category Herpetology?,Category
3745,Which object in the image has shell?,PartOf
5631,Which object in the image has a hard shell?,PartOf
3742,Which object in this image is a round object?,IsA
1425,Which thing in this image is a round object?,IsA
3743,Which object in this image belongs to the category Bedding?,Category
3769,Which object in this image can be classified into Bedding?,Category
3740,Which accessory belongs to the category fashion?,Category
3741,Which accessory in this image can be found in woman's closet?,AtLocation
4620,What object in this image is used for ensure  the Road traffic safety?,Category
4621,Which object in this image is an animal?,IsA
4944,Which object in this image is an animal?,IsA
1008,What is the animal in the image?,IsA
4622,Which object in this image is long-necked?,HasProperty
2510,Which object has long neck in this image?,HasProperty
2093,What object in this image has a long neck?,HasProperty
4430,Which animal in the image has a long neck?,HasProperty
4969,Which animal in this image has the property of long neck?,HasProperty
4002,Which object in this image has a long neck?,HasProperty
353,what object in this image has a long neck?,HasProperty
3693,Which object in this image is long-necked?,HasProperty
807,Which animal in this image is long-necked,HasProperty
5543,Which object in this image has a long neck?,HasProperty
5039,Which object in this image has a long neck?,HasProperty
2647,Which long neck animal can you see in this image?,HasProperty
4623,Which object in this image is related to okapi?,RelatedTo
4624,which object in this image sometimes wants stay alone,Desires
4625,What people excercise on ski slopes?,AtLocation
1588,what can we find in the scene of this image,AtLocation
5412,What can be found in this place?,AtLocation
5413,what can you observe in this image,AtLocation
5058,What can be found in this place?,AtLocation
5451,What can be found in this place?,AtLocation
1344,What can be found in this place?,AtLocation
1223,What can be found in this place?,AtLocation
4085,What can be found in this place?,AtLocation
5552,What are you likely to find in this place?,AtLocation
3546,What can be found in this place?,AtLocation
5602,What is one place that skiiers can ski on?,AtLocation
5452,What can be found in this place?,AtLocation
1589,What can be found in this place?,AtLocation
3583,Where is the boy playing?,AtLocation
4304,What can be found in this place?,AtLocation
4626,Which skiing equipment can you see in this image?,Category
4627,Which action is better than the action shown in this image,Comparative
5223,Which action is better than the action shown in this image,Comparative
5222,Which action is better than the action shown in this image,Comparative
4628,What portable electronic devices appear in this image? ,Category
4629,What portable electronic devices appear in this image? ,Category
4923,What portable electronic devices can be found in this image? ,Category
179,What is the colour of the animal in the image?,HasProperty
1799,Which object in this image has the property of usually green color?,HasProperty
181,Which thing in this picture is typically green?,HasProperty
178,What is on the animal?,HasA
1720,Which object in this image has stripes?,HasA
1184,Which object in this image has stripes?,HasA
5318,What thing does the animal in this image have as a part?,HasA
5313,What thing does the animal in this image have as a part?,HasA
5312,What in this image has stripes?,HasA
5311,What in this image has stripes?,HasA
5317,What thing does the animal in this image have as a part?,HasA
5316,What thing does the animal in this image have as a part?,HasA
5315,What thing does the animal in this image have as a part?,HasA
5314,What thing does the animal in this image have as a part?,HasA
2770,Which object in this image has stripes?,HasA
2476,Which object in this image has stripes?,HasA
501,What does a zebra have,HasA
5904,Which object in this image has stripes?,HasA
1787,Which object in this image has a stripe,HasA
177,Why the woman in the image move the umbrella?,CapableOf
601,What the umbrella in the image is used for?,CapableOf
176,What might be the next step?,UsedFor
175,What are the green long object in the image?,HasProperty
2262,Which object in this image is green?,HasProperty
174,Where can you find this cake?,RelatedTo
388,What is this cake for?,RelatedTo
5199,Which object in this image is related to wedding?,RelatedTo
173,Which thing in the image you can use to climb?,UsedFor
172,Which thing in this picture is used to see the time?,UsedFor
325,what object in this image can be used to check the time?,UsedFor
171,What is a clock used for,UsedFor
170,Which object is used to travel long distances?,UsedFor
1985,What is the drink vessel?,RelatedTo
1768,Which object in this image is made of brass?,RelatedTo
1769,Which object in this image could have a shelf?,RelatedTo
1762,Which fruit in this image has red yellow or green in color?,HasProperty
1763,Which fruit in this image has red yellow or green in color?,HasProperty
3648,Which object in this image has the color of red yellow or green?,HasProperty
1760,Which object in this image desires trick others?,Category
1761,What thing does the fruit in this image have as a part?,HasA
1766,Which object in this image has three keys?,HasA
3025,Which object in this image has three keys?,HasA
3791,Which object in this image has three keys?,HasA
1767,Which object in this image is coiled?,RelatedTo
1764,What object is sometimes green?,HasProperty
1765,What's less dark than lip liner and visible in this image?,Comparative
692,Which thing can make a dull pencil sharp again?,UsedFor
1547,what is it in this image  related to horse?,RelatedTo
690,What is the colour object used for?,UsedFor
3151,Which object in this image is used for flying and having fun?,UsedFor
2204,Which object in this image is used for flying and having fun?,UsedFor
3709,Which object in this image is used for fly and have fun?,UsedFor
1489,Which flying object in this image is used to have fun?,UsedFor
691,Why people can be killed by this animal?,HasProperty
5482,Which object in this image has the property of poisonous?,HasProperty
696,What is umbrella used for?,UsedFor
697,Which object in this image is used to heat food?,UsedFor
4354,Which object in this image is used for heating food?,UsedFor
43,Which device in the image can be used for heating food?,UsedFor
5739,Which object in this image is used for heating food?,UsedFor
694,What alcoholic beverage can be seen in this image?,Category
1541,What animal in this image can growl?,CapableOf
698,Which object in this image is used to store food,UsedFor
106,What thing in this image is used for storing food,UsedFor
699,Which vehicle in this image is less stable than car,Comparative
2705,what thing is more stable than the vehicle shown in this image?,Comparative
1548,what is it in this image belongs to the category Seats?,Category
3986,Which object in this image belongs to the category Seats?,Category
1549,"which area does the object <somewhere,somesize> can be found in?",AtLocation
5618,What can be found in this place?,AtLocation
3301,What can be found in this place?,AtLocation
5619,Where does the place in this image can be found in?,AtLocation
2509,What is this place usually located?,AtLocation
5612,What is one item of kitchenware that can be seen here?,Category
2145,Which object in this image belongs to the category Kitchenware?,Category
4474,What object in this image belongs to the kitchenware?,Category
5219,What do you call the Kitchenware on which the food is served? ,Category
5613,Which object in this image is often made for birthdays?,HasProperty
3644,Which food in this image is made for birthday?,HasProperty
5610,Which object in this image has four legs?,HasA
2015,Which object in this image has four legs?,HasA
2231,Which object in this image has a four leg?,HasA
2230,Which object in this image has four legs?,HasA
5620,which object in this image has four legs?,HasA
3675,Which object in this image has four legs?,HasA
5611,Which object in this image is a faithful pet?,IsA
3737,Which object in this image is a faithful pet?,IsA
5616,What  does the place shown in this image have as a part?,HasA
5617,What can be found in this place?,AtLocation
4103,Which object in this image is likely to be found in zoo?,AtLocation
227,What are you likely to find in zoos?,AtLocation
4713,What can be found in this zoo?,AtLocation
5614,What can you find at this place?,AtLocation
5615,what is it in this image belongs to the category Team sports?,Category
4668,Which object in this image is a cartilaginous fish?,Category
5375,Which animal in this image is a Cartilaginous fish?,Category
3580,Which object in this image is related to red?,RelatedTo
258,Which food in this image has a strong relationship with root vegetable,RelatedTo
259,Which object in this image belongs to root vegetables,Category
252,What is on the pizza?,HasA
5855,Which object in this image  has a cheese?,HasA
250,What object in this image is used for shearing?,UsedFor
251,Which animal in this picture can be found at a zoo?,AtLocation
256,Which object in this image is made of paper?,HasProperty
59,Which object shown in this photo is made of paper?,HasProperty
257,Which object in this image has many pages?,PartOf
254,Where might one sleep here?,UsedFor
255,What animal likes to eat the the root vegetable in the image?,RelatedTo
3689,which object in this image is capable of watching TV?,CapableOf
5083,which object in this image is capable of watching TV?,CapableOf
3688,which object in this image is capable of ordering goods?,CapableOf
3683,Which object in this image belongs to the category Sports equipment?,Category
3682,which object in this image is sold in the pastry shop,AtLocation
3681,Which object in this image is capable of travel on road?,CapableOf
3864,Which object in this image is capable of travelling on the road?,CapableOf
3680,which object in this image moves slower than a horse?,Comparative
1303,what animal is faster than the animal in this image,Comparative
3687,which object in this image is capable of paying a bill?,CapableOf
3686,which object in this image has a left ear?,PartOf
3685,which object can be found in this place shown in this image,AtLocation
3094,Where are you likely to find a gift?,AtLocation
3684,Which object in this image is capable of studying archeology?,CapableOf
1450,which object in this image is capable of studying archeology?,CapableOf
5691,which object in this image is capable of studying archeology?,CapableOf
2518,What is the dog lying on in the image?,UsedFor
2519,What is the dog lying on in the image?,UsedFor
2517,What is the dog lying on in the image?,UsedFor
1243,What in this image is used for lie on?,UsedFor
513,Which furniture in the image can I lie on? ,UsedFor
4030,What is the dog liying on ?,UsedFor
2514,Which object in this image is used for sitting on?,UsedFor
3853,what kind of object in this image can we use for sitting down,UsedFor
2515,Which object in this image is used for sitting down?,UsedFor
3433,Which object in this image is used for sit down?,UsedFor
4463,Which object in this image is used for sit down？,UsedFor
1237,Which object in this image is used for sitting down?,UsedFor
2516,Which object in this image is related to wine?,RelatedTo
2983,Which object in this image is used for drinking wine?,RelatedTo
2511,what kind of object in this image can be found in African regions,Category
2512,Which object in this image has a bone in their neck,HasA
3351,Which object in this image has a bone in their neck?,HasA
4980,Which animal in this image has bones in their long neck?,HasA
2513,Which object in this image can hold liquid?,CapableOf
3531,Which object in this image is a citrus?,HasProperty
2268,Which object in this image is a citrus?,HasProperty
3530,What kind of food is in this image?,Category
5053,Which object in this table belongs to the category Food?,Category
2030,Which oject belongs to the Food category?,Category
2636,What sort of food can you see in this image?,Category
3753,Which object in this image is Food?,Category
3752,Which object in this image is Food?,Category
4402,which object can be eaten?,Category
5022,Which object in this image is a kind of Food?,Category
3533,which object in this image is better than plain soda？,Comparative
3532,Which object in this image is yellow?,HasProperty
4418,Which object in this image is yellow?,HasProperty
2171,Which object in this image is yellow?,HasProperty
2521,Name one of yellow-coloured fruit in the image.,HasProperty
5400,Which object in this image is yellow?,HasProperty
3535,Which object in this image is a two wheeled vehicle?,IsA
290,How many wheels do these vehicle have?,IsA
3534,Which is safer than the action in this image?,Comparative
3537,Which object in this image is related to water?,Category
2506,Which objects in this image are related to water?,Category
3536,Which object in this image is used for transportation?,UsedFor
2190,Which object in this image is used for transportation?,UsedFor
5054,Which object in this image belongs to the category Plants?,Category
2253,Which object in this image belongs to the category Plants?,Category
3538,What can be found in this place?,AtLocation
5056,Which music instrument can be found in this image?,IsA
5057,Which object in this image do people use when playing tennis?,UsedFor
4432,Which object in this image is used for playing tennis?,UsedFor
686,What can we use the racket in the image for?,UsedFor
2992,Which object in this image is used for playing tennis?,UsedFor
4150,What is the large object in the right of this image used for?,UsedFor
5050,Is this office neat and tidy?,HasProperty
1150,What property does the place in this image have?,HasProperty
5051,Which object in this image can be used for Telecommunications?,Category
5052,Which console in this image belongs to the category Video game?,Category
1422,Which object in this image is a video game?,Category
1159,Which object in this image can dare another to do something careless?,CapableOf
1158,Which object in this image is capable of eating animal?,CapableOf
1155,Which object in this image has branches?,RelatedTo
1389,Which object in this image has branches?,RelatedTo
1154,What is the place shown in the image used for,UsedFor
1153,What is the place in this image used for?,UsedFor
1157,What thing in this image might hiss?,RelatedTo
4290,Which animal in this image is related to hiss?,RelatedTo
1156,Which object in this image might be found in a reptile house?,AtLocation
1151,Which object in this image is capable of calculation?,UsedFor
1152,Which object in this image is often called man's best friend?,IsA
4299,Which object in this image has a palm?,PartOf
4298,￼Which object in this image is an arachnid?,IsA
4295,Which object in this image is a device to protect something placed beneath it?,IsA
4294,Which object in this image can be found in an hourglass?,AtLocation
4297,Which object in this image is used for protect people from sun and rain?,UsedFor
1587,Which object in this image is used for protect person from rain?,UsedFor
559,Which object in this image is used to protect people from sun and rain,UsedFor
3735,What is the object on the right part of this image used for?,UsedFor
5242,Which object in this image is used to protect people from sun and rain?,UsedFor
3256,Which accessory in this image is used to protect person from sun and rain?,UsedFor
130,What is the object the girl holding used to?,UsedFor
4490,"In the image, what is used for protecting person from sun and rain?",UsedFor
4296,Which object in this image is used for shade?,UsedFor
4291,Which thing in this image can be found in your shoes?,AtLocation
4293,Which object in this image is related to desert?,RelatedTo
4458,Which object in this image could also be related to deserts?,RelatedTo
4292,Which object in this image is gritty?,HasProperty
4749,Which object in this image if food storage?,Category
4748,What is lightening the room and place in this image?,UsedFor
588,Which object is used for lighten rooms and places,UsedFor
1324,Which object in this image belongs to the category Land transport?,Category
4743,Which object in this image gets hotter than a desktop?,Comparative
4744,which object in this image often produces more heat than desktop when works,Comparative
4742,Which object in this image is used for holding a drink?,UsedFor
4741,Which object in this image has a string,HasA
416,Which instrument in this image has strings?,HasA
2986,Which object in this image has strings?,HasA
4740,What is the name of the music instrument in this image?,IsA
4747,Which object is gererating light in this image?,UsedFor
4530,Which objects in this image are used to generate light?,UsedFor
2128,Which object in this image is used for generating light?,UsedFor
4746,Which object in this image contains wine?,HasA
4745,Which object in this image is a computer?,IsA
2855,Which object in this image is a kind of computer?,IsA
5869,What is the instrument in the middle used for?,UsedFor
5868,Which object in this image is being played?,RelatedTo
5865,Which ball sport is shown in this image?,IsA
4829,what kind of ball sport is this in this image,IsA
3050,What ball sport is being played in this image?,IsA
2478,Which thing in this image is a ball sport?,IsA
5867,Which object in this image has four legs?,HasA
2926,Which object in this image has a four legs?,HasA
5866,Which object in this image has the property of fat,HasProperty
5861,Which object in this image is related to Glass?,Category
2284,which objects in the images contain the category Glass,Category
5860,What mammal is in this image?,IsA
5863,￼Which object in this image is round?,HasProperty
5582,What is the round object in this image?,HasProperty
5032,Which object in this image is round?,HasProperty
3104,Which object in the image is round,HasProperty
3103,Which object in the image is round,HasProperty
5862,Which object in this image might be found in a sporting goods store?,AtLocation
2183,Which object in the image makes a sound of woof woof?,RelatedTo
2182,Which object in this image one can eat with?,UsedFor
1457,Which object in this image is used to eat with?,UsedFor
2181,"IN this images, which action is less important than the action shown?",Comparative
3349,"In this image, which action is less significant than the action shown?",Comparative
2180,Which food in this images is round and has a whole in it?,IsA
2187,which object in this image is a form of land transportation?,Category
2186,which object in this image can be as a means of road transportation?,Category
2185,Which object in the image is considered a loyal pet?,CapableOf
2184,What has worse hearing than the large object in the center of the image?,Comparative
4606,which object in this image is less skittish than cat?,Comparative
4607,What animal in the image is bigger than cat?,IsA
1022,Which animal is usually bigger than the other?,IsA
2189,which object in this image is driven by a motorcyclist?,RelatedTo
2188,which object in this image is a vehicle?,IsA
4583,What type of vehicle is shown here?,IsA
1621,Which kind of vehicle is in this image?,IsA
4602,Which object in this image is used to listen to the body?,UsedFor
4603,Which object in this image is a listening instrument?,IsA
4600,What property does the place in this image have?,HasProperty
4601,Which object in this image is used to listen to your heart?,CapableOf
151,How many wings does the animal in the image has?,HasA
150,Tell me the name of the insect shown in this image,IsA
153,What is happened here?,CapableOf
152,Whether this vehicle is cheaper or more expensive than plane? ,Comparative
155,Which object will you use when you want to sit?,UsedFor
1995,Which object in this image is used for sitting in?,UsedFor
5049,Which object in this image is used for sitting in?,UsedFor
154,What is the base of this pizza?,RelatedTo
419,What is base of this pizza?,RelatedTo
157,Which thing in this image is found in sea water?,AtLocation
159,Where can people find a dining table,IsA
158,Which creature in this picture is more primitive than humans?,Comparative
2229,Which object in this image is more primitive than human beings?,Comparative
2727,Which object in this image is capable of lowering its landing gear?,CapableOf
2726,What is the place in this image used for?,UsedFor
1510,What is the place in this image used for?,UsedFor
2725,Which object in this image has a landing gear?,PartOf
2724,Which thing in this image has seeds?,PartOf
2723,Which thing in this image is edible?,HasProperty
2722,What can usually be found in this place?,AtLocation
4557,What can be found in this place?,AtLocation
3138,what can we find in the place described in this image,AtLocation
2721,What is the place in this image used for?,UsedFor
4691,What do people use the place in this image for?,UsedFor
1506,what kind of scene is shown in the image?,UsedFor
2729,Which object in this image is used for flying?,UsedFor
2773,What is the large object in the bottom of this image used for?,UsedFor
3982,What is the object that the picture is take from used for?,UsedFor
4093,Which object in this image is used for flying?,UsedFor
2728,Which object in this image is used for transporting people?,UsedFor
3089,Which object in this image is related to locomotive?,RelatedTo
3088,Which object can be called as a iron horse?,IsA
818,Which thing in this image can be used to protect one's head,UsedFor
819,Which thing in the image can be used for storing cloths?,UsedFor
810,What can these people do with the object they're focused on?,CapableOf
811,What thing in the image has two headlights?,HasA
638,Which vehicle in this image has two headlights,HasA
812,What equipment in the image has a physical impact buffer?,IsA
813,What types of music does this instrument used to play?,RelatedTo
814,what object in this image is an enemy of dogs?,RelatedTo
815,Which object in this image is able to prevent head injuries,CapableOf
816,What thing in this photo can protect a head from impact,CapableOf
2965,Which object in this image is capable of preventing head injury?,CapableOf
3393,Which object in this image is capable of preventing head injury?,CapableOf
817,Which object in this image can be used to protect your head,UsedFor
4859,￼Which object in this image is used for protecting one's head?,UsedFor
3042,Which object in this image is used to protect your head?,UsedFor
3499,What object in this image is used to protect your head?,UsedFor
3156,Which object in this image is used to protect the head?,UsedFor
249,Which object is used to protect your head in this image,UsedFor
1700,Which object in this image is used for moving across water?,UsedFor
1701,Which object in this image is a bouyant?,IsA
5265,Which object in this image is a kind of cuisine?,Category
5264,Which fruit in this image is most similar to mandarin?,RelatedTo
463,Which fruit is related to oranges?,RelatedTo
1704,What is the round and orange object in the image?,HasProperty
960,Can you describe the ball in the image?,HasProperty
1705,Which object in this image is a piece of sport equipment?,IsA
1706,What is the place in this image used for?,UsedFor
1707,Which object in this image is a sport you play?,IsA
1708,which object in this image is capable of using a pen to write words?,CapableOf
1709,which object in this image can eat breakfast?,CapableOf
2097,What object in this image can be found in a garden?,AtLocation
5268,which object in this image is faster than traffic?,Comparative
2096,What herd animal is in this image?,IsA
4315,Which animal in this image is a herd animal?,IsA
965,what object in this image is a subclass of herd animal?,IsA
407,What herd animal is shown here?,IsA
4574,Which object in this image is capable of mining data?,CapableOf
4575,Which object in this image is a part of monitor cpu box keyboard and mouse?,PartOf
4577,What fruit in this image is used for health?,UsedFor
3959,Which object in this image belongs to vehicle?,IsA
5817,Which object in this image is a vehicle?,IsA
4562,Which object in this image is a vehicle?,IsA
5306,Which object in this image is a vehicle?,IsA
3029,which object in this image do we need to pay more for than bus ,Comparative
3028,which object in this image is faster than shuttle bus?,Comparative
3027,which object in this image is faster than shuttle bus?,Comparative
3026,Which object in this image uses tracks?,RelatedTo
3024,What is the hot food or drink item in this image?,IsA
1563,Which object in this image is a hot food or drink?,IsA
3023,Which object in this image is a kind of Pets?,Category
4844,What pet is in this image?,Category
3022,Which object in this image is important to fire fighters?,HasProperty
5749,Which object in this image is important to fire fighters?,HasProperty
5558,Which object in this image is important to fire fighters?,HasProperty
3021,Which object in this image is related to fire engine?,RelatedTo
5751,Which object in this image is related to fire engine?,RelatedTo
3020,Which object in this image is capable of grazing?,CapableOf
